driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,season,circuit,round,vehicle,flag_at_fl,team_no,lap_time_ms,lap_time_s,engine,driver_stint_no,driver_stint,team_stint_no,team_stint,elapsed_ms,position,class_position,interval_ms,interval,gap,class_interval,class_gap,elapsed_s
2,105,0 days 00:01:51.548000,0,,34.713,0,41.916,0,34.919,0,174.7,0 days 03:25:08.808000,17:24:52.552,0 days 00:00:34.713000,0 days 00:00:41.916000,0 days 00:00:34.919000,271.6,Kazuki NAKAJIMA,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,111548.0,111.548,Toyota,2,Kazuki NAKAJIMA Stint #2,4,Toyota Gazoo Racing #8 Stint #4,12308808,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12308.808
3,105,0 days 00:01:51.202000,0,,34.584,0,41.705,0,34.913,0,175.2,0 days 03:25:11.586000,17:24:55.330,0 days 00:00:34.584000,0 days 00:00:41.705000,0 days 00:00:34.913000,263.0,Jose Maria LOPEZ,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,111202.0,111.202,Toyota,2,Jose Maria LOPEZ Stint #2,4,Toyota Gazoo Racing #7 Stint #4,12311586,2.0,2.0,2778.0,2.778,2.778,2.778,2.778,12311.586
3,105,0 days 00:01:52.082000,0,,35.235,0,42.116,0,34.731,1,173.8,0 days 03:37:26.137000,17:37:09.881,0 days 00:00:35.235000,0 days 00:00:42.116000,0 days 00:00:34.731000,274.3,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,112082.0,112.082,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13046137,12.0,3.0,12391.0,12.391,737.3290000000001,12.391,15.169,13046.137
2,106,0 days 00:01:51.697000,0,,34.869,0,41.976,0,34.852,0,174.4,0 days 03:27:00.505000,17:26:44.249,0 days 00:00:34.869000,0 days 00:00:41.976000,0 days 00:00:34.852000,248.5,Kazuki NAKAJIMA,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,111697.0,111.697,Toyota,2,Kazuki NAKAJIMA Stint #2,4,Toyota Gazoo Racing #8 Stint #4,12420505,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12420.505
3,106,0 days 00:01:51.992000,0,,34.536,0,42.328,0,35.128,0,174.0,0 days 03:27:03.578000,17:26:47.322,0 days 00:00:34.536000,0 days 00:00:42.328000,0 days 00:00:35.128000,282.2,Jose Maria LOPEZ,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,111992.0,111.992,Toyota,2,Jose Maria LOPEZ Stint #2,4,Toyota Gazoo Racing #7 Stint #4,12423578,2.0,2.0,3073.0,3.073,3.073,3.073,3.073,12423.578
3,106,0 days 00:01:52.075000,0,,34.559,1,42.639,0,34.877,0,173.8,0 days 03:39:18.212000,17:39:01.956,0 days 00:00:34.559000,0 days 00:00:42.639000,0 days 00:00:34.877000,277.8,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,112075.0,112.075,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13158212,12.0,3.0,8882.0,8.882,737.707,8.882,11.955,13158.212
2,107,0 days 00:01:51.929000,0,,34.788,0,42.137,0,35.004,0,174.1,0 days 03:28:52.434000,17:28:36.178,0 days 00:00:34.788000,0 days 00:00:42.137000,0 days 00:00:35.004000,266.9,Kazuki NAKAJIMA,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,111929.0,111.929,Toyota,2,Kazuki NAKAJIMA Stint #2,4,Toyota Gazoo Racing #8 Stint #4,12532434,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12532.434
3,107,0 days 00:01:52.990000,0,,34.846,0,42.374,0,35.77,0,172.4,0 days 03:28:56.568000,17:28:40.312,0 days 00:00:34.846000,0 days 00:00:42.374000,0 days 00:00:35.770000,266.2,Jose Maria LOPEZ,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,112990.0,112.99,Toyota,2,Jose Maria LOPEZ Stint #2,4,Toyota Gazoo Racing #7 Stint #4,12536568,2.0,2.0,4134.0,4.134,4.134,4.134,4.134,12536.568
3,107,0 days 00:01:51.593000,0,,34.995,0,41.74,0,34.858,0,174.6,0 days 03:41:09.805000,17:40:53.549,0 days 00:00:34.995000,0 days 00:00:41.740000,0 days 00:00:34.858000,259.9,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,111593.0,111.593,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13269805,12.0,3.0,3919.0,3.919,737.3710000000001,3.919,8.053,13269.805
2,108,0 days 00:03:24.572000,0,B,42.211,0,80.426,0,81.935,0,95.2,0 days 03:32:17.006000,17:32:00.750,0 days 00:00:42.211000,0 days 00:01:20.426000,0 days 00:01:21.935000,255.0,Kazuki NAKAJIMA,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,204572.0,204.572,Toyota,2,Kazuki NAKAJIMA Stint #2,4,Toyota Gazoo Racing #8 Stint #4,12737006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12737.006
